"servicecenterid","serviceid","servicenameen","servicenamear","isavailable"
"512","1307","Renewal of PRO card for UAE or GCC citizens","تجديد بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"535","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"484","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"490","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"471","1243","-Employment visa for supporting servant category for partner or investor","اذن دخول عمل لفئة عمال الخدمة المساعدة  لشريك او مستثمر","true"
"504","89","Adding a citizen wife.","إضافة زوجة مواطنة.","true"
"474","351","","تسجيل بيـانات  الدخـول","true"
"515","1149","Receiving and handing over of vehicles","استلام وتسليم المركبات","true"
"504","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"471","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"513","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"535","49","Tourism Entry Permit For Guests Of Tourism Establishments Only","إذن دخول سياحية لضيوف المنشآت السياحيه فقط.","true"
"531","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"513","1301","","بطاقة مندوب لجهة قطاع خاص او المنطقه الحره","true"
"536","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"498","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"493","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"500","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"481","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"484","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"476","423","","دخول المسافرين بموجب (إتفاقية الاعفاء المتبادل)","true"
"501","1301","","بطاقة مندوب لجهة قطاع خاص او المنطقه الحره","true"
"481","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"512","1274","","تجديد بطاقة مندوب اجنبي","true"
"535","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"481","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"495","80","Renewal of work residence","تجديد إقامة عمل","true"
"535","244","Request to issue permit of exit for  people under the entry permit sponsorship (Visits) after the case is finished.","طلب إصدار تصريح مغادرة لمكفولي أذن دخول (زيارات) بعد إنتهاء القضية مخالف  .","true"
"513","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"499","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"514","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"515","356","Request for settlement of the violators records.","طلب تسديد قيود المخالفين.","true"
"471","114","Request for issuing family book in lieu of lost one","طلب إصدار  خلاصة قيد بدل فاقد","true"
"481","1306","Renewal of PRO card for private sector or free zone","تجديد بطاقة مندوب لجهة قطاع خاص او المنطقة الحرة","true"
"516","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"504","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"472","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"476","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"500","44","Single Entry Permit For Treatment","أذن دخول علاج لسفرة واحدة","true"
"535","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"515","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"654","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"535","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"535","1306","Renewal of PRO card for private sector or free zone","تجديد بطاقة مندوب لجهة قطاع خاص او المنطقة الحرة","true"
"535","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"504","147","Request of marriage transactions for UAE citizen","طلب معاملات الزواج  لزوجين مواطنين","true"
"516","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"481","179","Renewal of PRO card for government sector entity","تجديد بطاقة مندوب لجهة قطاع حكومي","true"
"495","737","","الصيانة من قبل الشركات","true"
"490","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"492","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"492","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"471","790","Approval of entry permits submitted through the default administration system (online).","اعتماد أذونات الدخول المقدمة عن طريق الإدارة الافتراضية نظام الـ(online).","true"
"493","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"484","1219","-Single entry long term tourist visit visa","أذن دخول زيارة طويلة سياحية سفره واحده","true"
"476","1201","","إطلاق الاستبيانات المتعلقة بالموارد البشرية وتحليلها ورفع التوصيات المناسبة  [خارجي المجلس التنفيذي]","true"
"513","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"513","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"512","1306","Renewal of PRO card for private sector or free zone","تجديد بطاقة مندوب لجهة قطاع خاص او المنطقة الحرة","true"
"497","80","Renewal of work residence","تجديد إقامة عمل","true"
"476","1302","Stop search of one sponsored by private sector (Residencies are issued from GDRFA)","كف البحث عن مكفول لكفيل من الجهات الخاصة (تصدر الإقامات من الإدارة)","true"
"480","1099","","خروج  الوسائل البحرية الحديدية","true"
"515","736","","إحالة الشكاوى للمحكمة العمالية.","true"
"516","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"472","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"500","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"480","1263","","اصدار بطاقه منشأه (لمؤسسات القطاع الحكومي)","true"
"496","821","","استلام وتحويل الإقتراحات .","true"
"838","1312","","إلغاء بطاقة مندوب","true"
"512","1301","","بطاقة مندوب لجهة قطاع خاص او المنطقه الحره","true"
"480","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"497","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"471","1221","Multiple Entry Permit For Treatment","إذن دخول للعلاج لعدة سفرات","true"
"501","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"499","159","","كشف حركة المسافرين عبر بوابة الامارات","true"
"838","244","Request to issue permit of exit for  people under the entry permit sponsorship (Visits) after the case is finished.","طلب إصدار تصريح مغادرة لمكفولي أذن دخول (زيارات) بعد إنتهاء القضية مخالف  .","true"
"471","1301","","بطاقة مندوب لجهة قطاع خاص او المنطقه الحره","true"
"507","25","","دخول الوسيلة إلى موانئ الدولة.","true"
"501","1271","Renewal of establishment card for national companies benefiting from the SME support programme","تجديد بطاقه منشأه للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"481","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"481","180","Subscribe to Online service.","الإشِتراك في خدمة الإدارة الالكترونية (online).","true"
"536","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"498","737","","الصيانة من قبل الشركات","true"
"513","178","Replacement of lost establishment card","بدل فاقد لبطاقة المنشأه","true"
"481","1305","Renewal of PRO card for national companies recipient of SME support programme","تجديد بطاقة مندوب للشركات الوطنية المستفيدة من برنامج دعم المشاريع الصغيره","true"
"471","154","Request for marriage separation (UAE citizen married to a foreigner).","طلب فصل زواج لـ ( مواطنة متزوجة من أجنبي).","true"
"480","104","Status Modification","تعديل وضع","true"
"535","178","Replacement of lost establishment card","بدل فاقد لبطاقة المنشأه","true"
"497","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"480","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"484","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"471","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"480","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"516","1216","Multiple Short Visit Visa For (Festival/Fairs/Conference/Symposium)","إذن دخول زيارة قصيرة لعدة سفرات(مهرجان/معارض/مؤتمر/ندوة)","true"
"471","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"512","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"499","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"501","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"480","1301","","بطاقة مندوب لجهة قطاع خاص او المنطقه الحره","true"
"481","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"838","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"496","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"514","1313","Replacement of PRO Card","بدل تالف لبطاقة مندوب","true"
"484","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"838","1274","","تجديد بطاقة مندوب اجنبي","true"
"654","145","","دخول البحارة من المياه الإقليمية إلى الميناء","true"
"495","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"490","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"490","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"500","737","","الصيانة من قبل الشركات","true"
"504","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"481","1263","","اصدار بطاقه منشأه (لمؤسسات القطاع الحكومي)","true"
"535","1303","","بطاقة مندوب مواطن او مواطن دول مجلس التعاون","true"
"509","25","","دخول الوسيلة إلى موانئ الدولة.","true"
"499","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"492","159","","كشف حركة المسافرين عبر بوابة الامارات","true"
"499","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"512","1271","Renewal of establishment card for national companies benefiting from the SME support programme","تجديد بطاقه منشأه للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"498","29","Work Entry Permit For Government Entities","إذن دخول عمل في الجهات الحكومية","true"
"513","1314","Replacement for lost PRO card","بدل فاقد لبطاقة المندوب","true"
"501","1314","Replacement for lost PRO card","بدل فاقد لبطاقة المندوب","true"
"492","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"501","175","Issuance of an additional copy of the establishment card.","إصدار نسخة إضافية من بطاقة المنشأة.","true"
"493","244","Request to issue permit of exit for  people under the entry permit sponsorship (Visits) after the case is finished.","طلب إصدار تصريح مغادرة لمكفولي أذن دخول (زيارات) بعد إنتهاء القضية مخالف  .","true"
"514","1305","Renewal of PRO card for national companies recipient of SME support programme","تجديد بطاقة مندوب للشركات الوطنية المستفيدة من برنامج دعم المشاريع الصغيره","true"
"516","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"472","104","Status Modification","تعديل وضع","true"
"514","75","Request for renewal of expired entry permits","طلب تجـــديد صلاحية أذونات الدخــول","true"
"492","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"471","351","","تسجيل بيـانات  الدخـول","true"
"503","654","","مغادرة الفئات المساعدة ومن في حكمهم من دولة الإمارات متوجهين إلى سلطنة عمان عبر منفذ حتا البري","true"
"490","80","Renewal of work residence","تجديد إقامة عمل","true"
"500","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"497","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"503","1239","Entry Permit of escort for GCC citizens","إذن دخول مرافقين لمواطني مجلس التعاون","true"
"490","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"497","45","Single Short Term Entry Visit Permit (Festival/Fairs/Conference/Symposium)","إذن دخول زيارة قصيرة لسفرة واحدة(مهرجان/معارض/مؤتمر/ندوة)","true"
"471","166","Investigation for issuing a replacement passport (within the state).","التحقيق لاصدار جواز سفر بدل فاقد (داخل الدولة).","true"
"504","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"471","821","","استلام وتحويل الإقتراحات .","true"
"513","1212","Multi Short Term Visit Visa - For Work Or Entertainment","إذن دخول زيارة قصيرة لعدة سفرات - عمل أو ترفية","true"
"512","173","Modify the data of the establishment card.","تعديل بيانات بطاقة المنشأة.","true"
"471","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"507","821","","استلام وتحويل الإقتراحات .","true"
"512","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"471","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"481","80","Renewal of work residence","تجديد إقامة عمل","true"
"492","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"501","80","Renewal of work residence","تجديد إقامة عمل","true"
"514","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"490","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"493","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"513","1271","Renewal of establishment card for national companies benefiting from the SME support programme","تجديد بطاقه منشأه للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"508","145","","دخول البحارة من المياه الإقليمية إلى الميناء","true"
"484","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"501","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"499","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"512","1310","PRO card for national companies recipient of SME support programme","بطاقه مندوب للشركات الوطنيه المستفيده من برنامج دعم المشاريع الصغيره","true"
"496","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"480","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"513","1313","Replacement of PRO Card","بدل تالف لبطاقة مندوب","true"
"509","152","","ترك عبور بحار من الميناء إلى المطار.","true"
"472","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"516","138","IRIS Insertion Station","محطة إدراج بصمة العين.","true"
"472","1241","Entry Permit For Domestic Helpers Category Escorting for GCC Residents","إذن دخول للمرافقين الفئة المساعده لمقيمي دول مجلس التعاون","true"
"480","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"500","821","","استلام وتحويل الإقتراحات .","true"
"531","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"838","1313","Replacement of PRO Card","بدل تالف لبطاقة مندوب","true"
"471","1318","Add validity to Entry Permit for mission","اضافة صلاحيه خدمة اذن دخول لمهمه","true"
"497","31","Employment visa for support categories for a resident sponsor","إ إذن دخول عمل -  للفئات المساعدة لكفيل مقيم","true"
"480","33","-","إصدار إذن دخول عمل -  للفئات المساعدة ومن في حكمهم على كفالة مواطني دول مجلس التعاون الخليجي","true"
"501","181","Modification of PRO card","تعديل بيانات بطاقة مندوب","true"
"502","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"531","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"471","537","Ban Enquiry","استعلام عن الحظر","true"
"478","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"493","173","Modify the data of the establishment card.","تعديل بيانات بطاقة المنشأة.","true"
"501","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"501","1263","","اصدار بطاقه منشأه (لمؤسسات القطاع الحكومي)","true"
"504","6","Long term Single journey visit visa - leisure","إصدار إذن دخول زيارة طويلة لسفرة واحدة ترفيه","true"
"497","241","Sponsorship by  GCC nationals to husband or foreigner wife and children","كفالة مواطني دول مجلس التعاون الخليجي للزوج أو الزوجة الأجنبية والأبناء","true"
"514","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"503","48","","دخول حملة أذونات الدخول.","true"
"514","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"512","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"835","1283","Stop search of one sponsored by private entities (partners and investors)","كف البحث عن مكفول لكفيل من الجهات الخاصة ( الشركاء والمستثمرين)","true"
"536","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"502","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"493","1243","-Employment visa for supporting servant category for partner or investor","اذن دخول عمل لفئة عمال الخدمة المساعدة  لشريك او مستثمر","true"
"499","78","Renewal of the residency permit for the family members of sponsor working in the private sector or free zone.","تجديد تصريح إقامة لأفراد أسرة كفيل يعمل في قطاع خاص أو منطقة حرة .","true"
"481","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"503","518","","دخول الفئات المساعدة ومن في حكمهم برفقة الكفيل ( مقيم دولة الإمارات)  عبر منفذ حتا البري","true"
"484","173","Modify the data of the establishment card.","تعديل بيانات بطاقة المنشأة.","true"
"471","3","Short Term Visit Visa For 30 Days Under The Sponsorship Of (Companies).","اصدار اذن زيارة  قصيرة لمدة 30 يوم لمكفولي (الشركات).","true"
"471","244","Request to issue permit of exit for  people under the entry permit sponsorship (Visits) after the case is finished.","طلب إصدار تصريح مغادرة لمكفولي أذن دخول (زيارات) بعد إنتهاء القضية مخالف  .","true"
"509","158","","خروج اليخوت.","true"
"512","181","Modification of PRO card","تعديل بيانات بطاقة مندوب","true"
"497","22","Employment Visa For Support Categories For A UAE Citizen Sponsor or GCC Citizen","إذن دخول عمل - للفئات المساعدة لكفيل (مواطن)اومواطن مجلس التعاون","true"
"493","1263","","اصدار بطاقه منشأه (لمؤسسات القطاع الحكومي)","true"
"484","57","Cancellation of entry permits issued by the default system (Online)","إلغاء صلاحية أذونات الدخول  الصادرة عن طريق الادارة الافتراضية نظام الـ On-Line","true"
"471","758","","مناقصات الخدمات الإلكترونية.","true"
"480","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"481","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"512","737","","الصيانة من قبل الشركات","true"
"535","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"531","821","","استلام وتحويل الإقتراحات .","true"
"507","149","","تصريح نزول بحارة - نزول إمارة","true"
"493","1313","Replacement of PRO Card","بدل تالف لبطاقة مندوب","true"
"838","179","Renewal of PRO card for government sector entity","تجديد بطاقة مندوب لجهة قطاع حكومي","true"
"504","58","Cancellation of Entry Permits","إلغاء أذونات الدخول","true"
"499","74","Issuance of Entry Permit for Mission (90 days).","إصدار إذن دخول عمل مهمة لمدة (90 يوم).","true"
"481","1264","","تجديد بطاقة المنشأه لمؤسسات القطاع الحكومي","true"
"484","1301","","بطاقة مندوب لجهة قطاع خاص او المنطقه الحره","true"
"504","121","Request for cancellation of the death","طلب شطب وفاة","true"
"515","1322","","تسجيل الحظر على ملف الكفيل (الشخصي)","true"
"484","1213","Multi Long Term Visit Visa - work or leisure","إذن دخول زيارة طويلة لعدة سفرات - عمل أو ترفية","true"
"493","178","Replacement of lost establishment card","بدل فاقد لبطاقة المنشأه","true"
"493","821","","استلام وتحويل الإقتراحات .","true"
"495","34","Issuance of work contract work for domestic helper categories.","إصدار عقد العمل للفئات المساعدة.","true"
"531","84","Renewal of the residence permit for help work permit of support category workers for diplomatic bodies.","تجديد تصريح إقامة لفئة عمال الخدمة المساعدة لمكفولين الهيئات الدبلوماسية .","true"
"499","239","Issuing Entry permit for residence – for UAE citizens’ relatives category (spouse-children).","إصدار إذن دخول إقـامة – لفئة أقارب مواطن (الزوجة-الأبناء).","true"
"497","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"516","81","Renewal of the residence permit for help workers category to UAE and GCC citizens","تجديد إقامة لفئة عمال الخدمة المساعدة  لكفيل مواطن أو لكفيل من مواطني دول مجلس التعاون .","true"
"514","1241","Entry Permit For Domestic Helpers Category Escorting for GCC Residents","إذن دخول للمرافقين الفئة المساعده لمقيمي دول مجلس التعاون","true"
"495","73","Extend the validity of work entry permit – Mission for a period of 90 days (Ministry of Labour)","تمديد صلاحية إذن دخول عمل - مهمة لمدة 90 يوم (وزارة العمل)","true"
"492","27","Issuance of employment entry permit- Domestic Helpers Category and alike for the UAE Female citizens.","إصدار إذن دخول عمل - للفئات المساعدة ومن في حكمهم للمواطنات.","true"
"498","232","Request for issuing exit permit for newborn babies","طلب إصدار تصريح مغادرة لحديثي الولادة.","true"
"501","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"535","242","Entry permit for residence - family of resident category working in the private sector or free zone","إصدار إذن دخول إقـامة - فئة أسرة مقيم يعمل في قطاع خاص او منطقة حرة","true"
"480","236","Request for issuing an exit permit in the event of loss of passport","طلب إصدار تصريح مغادرة في حالة فقدان جواز السفر","true"
"516","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"493","32","Work Entry Permit - For Partner Or Investor.","إذن دخول عمل - لشريك أو مستثمر أجنبي.","true"
"496","71","Work Entry Permit For Private Sector Or Free Zone","إذن دخول عمل لقطاع خاص او منطقة حرة","true"
"495","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"507","737","","الصيانة من قبل الشركات","true"
"492","821","","استلام وتحويل الإقتراحات .","true"
"493","172","Renewal of the establishment card of a private sector or free zone","تجديد بطاقة منشأة لمؤسسات القطاع الخاص او المنطقه الحره","true"
"500","101","Request for cancellation of family residency","طلب إلغـاء إقامة عائلة","true"
"480","1111","","في حالة مرض البحارة او الأصابة في حادث","true"
"495","198","Renewal of Trade License in the system","تجديد الرخصة التجارية في النظام","true"
"536","821","","استلام وتحويل الإقتراحات .","true"
"512","91","Modify the data of residency permit of family members","تعديل بيانات تصريح إقامة أفراد الأسرة","true"
"476","1297","Stop searching for one sponsored by a UAE citizen/ GCC citizen","كف البحث عن مكفول كفيل مواطن / مواطن مجلس التعاون","true"
"471","104","Status Modification","تعديل وضع","true"
"495","243","Request for issuing an exit permit for escorts on entry permits.","طلب إصدار تصريح مغادرة للمرافقين على أذونات الدخول.","true"
"481","40","Damage replacement of entry permit/visa","بدل تالف لاذن دخول/تاشيرة","true"
"471","112","Request change in family book ( Tribe or Clan ).","طلب تعديل في خلاصة القيد ( القبيلة او العشيرة).","true"
"654","152","","ترك عبور بحار من الميناء إلى المطار.","true"
