"professionid","professiondescen","professiondescar"
"541301","PRISON GUARD","حارس السجون"
"541403","DOORMAN","البواب"
"612102","SHEPHERD","راعي"
"711503","SHIPWRIGHT","سفّان"
"712601","GAS FITTER","عامل تركيب الغاز"
"721301","SHEET METAL WORKER","عامل الألواح المعدنية"
"721303","ALUMINIUM FABRICATOR","عامل تصنيع الألومنيوم"
"723202","AIRCRAFT ENGINE MECHANIC","ميكانيكي إصلاح محركات الطائرات"
"723303","INDUSTRIAL MAINTENANCE MECHANIC","ميكانيكي الصيانة الصناعية"
"723304","TRAIN FITTER","عامل تركيب محرك قطار"
"731101","PRECISION INSTRUMENT MAKER","صانع الأجهزة الدقيقة"
"731201","MUSICAL INSTRUMENT MAKER","صانع الآلات الموسيقية"
"731502","GLASS FINISHER","عامل تشطيب الزجاج"
"731602","ENGRAVER","نقاش"
"732101","TYPESETTER","عامل تنسيق الطباعة"
"732102","PLATE PRINTING MAKER","صانع ألواح الطباعة"
"732202","PRINTER","مشغل ماكنة الطباعة"
"741102","INDUSTRIAL ELECTRICIAN","كهربائي صناعي"
"741205","ELECTRICAL MECHANIC","فني الأجهزة الكهروميكانيكية"
"741301","ELECTRICAL POWERLINE INSTALLER","عامل تركيب خطوط الضغط العالي الكهربائية"
"742201","TELECOMMUNICATION LINE INSTALLER","عامل تركيب خطوط الاتصالات السلكية"
"742202","TELECOMMUNICATIONS EQUIPMENT REPAIRER","عامل صيانة معدات الاتصالات"
"751103","FISH FILLETER","عامل تخلية الأسماك"
"751204","PASTRY MAKER","طاهي الفطائر"
"752101","WOOD TREATER","مُعالج أخشاب"
"754201","BLASTER","النّاسف"
"754402","PESTICIDES CONTROLLER","مراقب المبيدات الحشرية"
"811201","STONE PROCESSING PLANT OPERATOR","مشغِّل محطّة معالجة الأحجار"
"811302","DRILLING SUPERVISOR","مشرف أعمال الحفر"
"811401","CONCRETE MACHINE","مشغِّل ماكينة الخرسانة"
"812101","METAL MACHINE PROCESSING OPERATOR","مشغِّل ماكينة معالجة المعادن"
"812201","METAL PLATING OPERATOR","مشغِّل ماكينة طلاء المعادن"
"813101","CHEMICAL PRODUCTS MACHINE OPERATOR","مشغِّل اجهزة المنتجات الكيميائية"
"813201","PHOTOGRAPHIC PRODUCT MACHINE OPERATOR","مشغِّل اجهزة منتجات التصوير الفوتوغرافي"
"814101","RUBBER MACHINE OPERATOR","مشغِّل ماكينات المنتجات المطاطية"
"814201","PLASTIC PRODUCTS MACHINE OPERATOR","مُشغِّل ماكينات المنتجات البلاستيكية"
"814202","FIBREGLASS MACHINE OPERATOR","مشغِّل ماكينة الألياف الزجاجية"
"815202","LOOM MACHINE OPERATOR","مشغِّل آلة المنوال"
"815501","LEATHER PREPARING MACHINE","مشغِّل ماكينات تجهيز الجلود"
"815601","FOOTWEAR MACHINE OPERATOR","مشغِّل ماكينة الأحذية"
"815602","LUGGAGE MACHINE OPERATOR","مشغِّل ماكينة الحقائب"
"815701","STREAM PRESS MACHINE OPERATOR","مشغِّل ماكينات الكي بالبخار"
"815702","LAUNDRY MACHINE OPERATOR","مشغِّل ماكينة الغسيل"
"815901","TEXTILE MACHINE OPERATOR","مشغِّل ماكينات النسيج"
"816001","FOOD PROCESSING MACHINE OPERATOR","مشغِّل ماكينات تجهيز الأغذية"
"817201","WOOD PROCESSING PLANT OPERATOR","مشغِّل محطات معالجة الخشب"
"818101","GLASS AND CERAMIC PLANT OPERATOR","مُشغِّل محطات الزجاج"
"818301","PACKAGING MACHINE OPERATOR","مشغِّل ماكينة التعليب"
"818901","CABLE AND ROPE SPLICING MACHINE OPERATOR","مشغِّل ماكينات الكابلات وربط الأسلاك"
"821101","MACHINE ASSEMBLER","عامل تجميع الماكينات"
"833202","GARBAGE TRUCK DRIVER","سائق شاحنات القمامة"
"833203","AIRCRAFT FUELLING OPERATOR","عامل تزويد الطائرات بالوقود"
"835001","DECKHAND","النّوتيّ"
"911102","DOMESTIC HELPER","المساعد المنزلي"
"921301","FARM LABOURER","عامل المزرعة"
"921501","FORESTRY LABOURER","عامل الغابات"
"931305","PLUMBER ASSISTANT","مساعد السباك"
"933301","FREIGHT HANDLER","مناول الشحن"
"941102","FAST FOOD MAKER","مُعدّ الوجبات السريعة"
"941201","KITCHEN HELPER","مساعد مطبخ"
"962902","AIR CONDITIONING ASSISTANT","مساعد إصلاح مكيفات الهواء"
"962904","WELDER ASSISTANT","مساعد اللَّحَّام"
"422102","TRAVEL AGENT","وكيل سفريات"
"422103","TRAVEL TICKETS CLERK","موظف تذاكر سفر"
"422104","TOURIST INFORMATION CLERK","موظف معلومات سياحية"
"422105","AIRPORT CHECK-IN AGENT","موظف تسجيل دخول الركاب في المطار"
"422301","TELEPHONE SWITCHBOARD OPERATOR","عامل تشغيل تحويلة هاتف"
"422401","HOTEL RECEPTIONIST","موظف استقبال بالفنادق"
"422502","INFORMATION CLERK","موظف معلومات"
"313401","PETROLANDNATURAL GASREFINING PLANTOPERATOR","مشغل محطات تكرير النفط والغاز الطبيعي"
"351201","ICT USER SUPPORT TECHNICIAN","فنّي مستخدمي نطم المعلومات والاتصالات"
"422601","RECEPTIONIST","موظف استقبال"
"422902","HOTEL CONCIERGE","موظف خدمة النزلاء في الفندق"
"431101","ACCOUNTING CLERK","موظف حسابات"
"431102","AUDITING CLERK","موظف تدقيق"
"431201","BROKERAGE CLERK","موظف سمسرة"
"431301","WAGES CLERK","موظف أجور ورواتب"
"432101","STOCK CLERK","موظف مخزون"
"432102","WEIGHTING CLERK","موظف ميزان"
"432201","PRODUCTION CLERK","موظف إنتاج"
"432202","FOLLOW UP CLERK","موظف متابعة"
"432302","AIR FREIGHT CLERK","موظف شحن جوي"
"432303","TRANSPORT CLERK","موظف نقليات"
"441101","LIBRARY CLERK","موظف مكتبة"
"441201","MAILING CLERK","موظف إيداع بريد"
"441202","POSTAL CLERK","موظف بريدي"
"441203","POSTMAN","ساعي بريد"
"441501","FILING CLERK","موظف تسجيل ملفات"
"441601","STAFF CLERK","موظف شؤون أفراد"
"511102","STEWARD/STEWARDESS","مُضيف/مضيفة"
"511201","TICKET CONDUCTOR","قاطِعُ تذَاكِر وسائل النقل الأرضية"
"511301","TOUR GUIDE","مرشد السفر"
"512001","ARABIC FOOD COOK","طاهي طعام عربي"
"512003","FISH COOK","طاهي أسماك"
"512004","COOK","طاهي"
"513101","WAITER","نادل"
"513201","BARTENDER","عامل البار"
"514101","HAIRSTYLIST","مزين الشعر"
"514102","HAIRDRESSER","مصفف الشعر"
"514103","BARBER","حلاق"
"514201","BEAUTICIAN","فنّي الجَمال"
"514202","MAKE UP ARTIST","فني مكياج (ماكيير)"
"514203","MANICURIST","مقلم أظافر (مانيكير)"
"422504","CUSTOMER SERVICE CLERK","موظف خدمة عملاء"
"512005","FOREIGN FOOD COOK","طاهي طعام أجنبي"
"1111111","SOCIAL MEDIA MANAGER","مشرف منصات التواصل الاجتماعي"
"9000012","MANAGER LOSS PREVENTION","مدير الوقاية من الخسائر"
"9000013","LOSS PREVENTION - ASSISTANT MANAGER","مساعد مدير الوقاية من الخسائر"
"9000014","LOSS PREVENTION - OFFICER","ضابط الوقاية من الخسائر"
"9000015","LOSS PREVENTION - SUPERVISOR","مشرف الوقاية من الخسائر"
"9000016","LOSS PREVENTION - ASSISTANT SUPERVISOR","مساعد مشرف الوقاية من الخسائر"
"9000017","LOSS PREVENTION - ASSISTANT","مساعد الوقاية من الخسائر"
"9000018","SECURITY ASSISTANT","مساعد أمن"
"9000019","DEDICATED MERCHANDISER","مروج متخصص"
"9910275","SENIOR ECONOMIC CONSULTANT","مستشار اقتصادي أول"
"9910277","EXECUTIVE MARKETING AND EVENTS","تنفيذي تسويق وفعاليات"
"9910276","SENIOR EXECUTIVE GOVERNMENT SERVICES","تنفيذي أول خدمات حكومية"
"9910279","ELECTRICAL PROJECTS COORDINATOR","منسق مشاريع كهربائية"
"9910278","SENIOR TECHNICIAN CONTROLLER","مراقب فني أول"
"9919193","SPECIALIST IN INSTITUTIONAL PARTNERSHIPS","اخصائي اول شراكات مؤسسية"
"9910286","BROADCASTING TECHNICIAN","فني البث"
"9910287","AIRPORT CHECK-IN AGENT","وكيل تسجيل الوصول في المطار"
"9910288","UNDERTAKER","متعهد"
"9910289","FALCONIST","مدرب الصقور"
"9910290","LIBRARY MANAGER","مدير المكتبة"
"9910291","YOUTH SPORT MANAGER","مدير رياضة الشباب"
"9910292","METEOROLOGIST","خبير الأرصاد الجوية"
"9910293","SURVEYOR","مسّاح"
"9910294","SPECIALIST PHYSICIAN","طبيب متخصص"
"9910295","VOCATIONAL TEACHER","مدرس مهني"
"9910296","VOCATIONAL TRAINER","مدرب مهني"
"9910297","MANAGEMENT CONSULTANT","مستشار إداري"
"9910298","ECONOMIST","خبير اقتصادي"
"9910299","ARCHAEOLOGIST","أخصائي علم الآثار"
"9910300","ARTISTIC PAINTER","رسام فني"
"9910301","CIVIL ENGINEER TECHNICIAN","فني هندسة مدنية"
"9910302","BUILDING CONTROL SURVEYOR","مساح مراقبة المبنى"
"9910303","CONSTRUCTION SAFETY OFFICER","ضابط السلامة الإنشائية"
"9910304","ELECTRICAL ENGINEERING TECHNICIAN","فني هندسة كهربائية"
"9910305","VALUER AND LOSS ASSESSOR","مقيِّم ومُثمِّن الخسائر"
"9910306","SHOP ASSISTANT","عامل مساعد بمتجر"
"9910307","AQUACULTURE WORKER","عمال تربية الأحياء المائية"
"9910308","STEEL FIXER","عامل تثبيت الفولاذ"
"9910309","ACCOUNTS MANAGER","مدير الحسابات"
"9910310","PRINTER","طبــاع"
"9910311","STONE POLISHING MACHINE OPERATOR","مشغل ماكينة صقل الأحجار"
"9910312","FARM VEHICLE DRIVER","سائق عربة المزرعة"
"9910313","DOMESTIC WORKER","عامل منزلي"
"9910314","CLEANER","عامل النظافة"
"9910421","AUTOMOTIVE SPRAY PAINTER","صباغ رش المركبات"
"9910422","AVIONICS TECHNICIAN","فني الكترونيات الطيران"
"9910423","BAGS AND ACCESSORIES SALES ASSISTANT","مساعد مبيعات الحقائب والإكسسوارات"
"9910424","BIOLOGY TEACHER","مدرس الاحياء"
"9910425","BOAT MECHANIC","ميكانيكي القوارب"
"9910426","BOOKS SALES ASSISTANT","مساعد مبيعات الكتب"
"9910427","BREAD AND PASTRY WORKER","عامل الخبز والمعجنات"
"9910428","BUILDING CONSTRUCTION SUPERVISOR","مشرف بناء المباني"
"9910429","BUILDING DRAFTSPERSON","رسام البناء"
"9910430","BUILDING ENGINEER","مهندس بناء"
"9910431","BUILDING MATERIALS SALES ASSISTANT","مساعد مبيعات مواد البناء"
"9910432","BUILDING MATERIALS SALESPERSON","مندوب مبيعات مواد البناء"
"9910433","BUILDING PAINTER","صباغ المباني"
"9910434","BUILDING PAINTER ASSISTANT","مساعد صباغ المباني"
"9910435","CAR INSURANCE MANAGER","مدير التأمين على السيارات"
"9910436","CEMENT COMPRESSOR OPERATOR","مشغل الضاغط الأسمنتي"
"9910437","CEMENT MIXER","عامل خلط الإسمنت"
"9910438","CENTRAL AIR COOLING MECHANIC","ميكانيكي تبريد الهواء المركزي"
"9910439","CENTRAL COOLING MECHANIC ASSISTANT","مساعد ميكانيكي التبريد المركزي"
"9910440","CENTRAL HEATING ASSISTANT","مساعد عامل التدفئة المركزية"
"9910441","CENTRAL SERVICE DIRECTOR","مدير الخدمة المركزية"
"9910442","CERAMIC PAINTER","رسام السيراميك"
"9910443","CHEMICAL LABORATORY TECHNICIAN","فني المختبر الكيميائي"
"9910444","CHEMIST SALES ASSISTANT","مساعد البائع الكيميائي"
"9910445","CHILD CARE SERVICES MANAGER","مدير خدمات رعاية الطفل"
"9910446","CIVIL ENGINEER PROFESSOR","أستاذ الهندسة المدنية"
"9910447","CLOTHES SALES ASSISTANT","مساعد مبيعات الملابس"
"9910448","COMMERCE TRAINER","مدرب التجارة"
"9910449","COMMERCIAL ADVERTISING SPECIALIST","أخصائي إعلانات تجارية"
"9910450","COMPRESSOR MECHANIC","ميكانيكي الضواغط"
"9910451","COMPUTER NETWORKING SUPERVISOR","مشرف شبكات الحاسوب"
"9910452","COMPUTER SCIENCE PROFESSOR","أستاذ علوم الكمبيوتر"
"9910453","CONCRETE MIXING OPERATOR","مشغل آلة خلط الخرسانة"
"9910454","CONCRETE STRUCTURE MASON","بنَّاء الهيكل الخرساني"
"9910455","CONFECTIONER SUPERVISOR","مشرف الحلوانيين"
"9910456","CONSTRUCTION MATERIAL ENGINEER","مهندس مواد البناء"
"9910457","CONSTRUCTION SUPPLIES SALESPERSON","مندوب مبيعات توريدات البناء"
"9910458","CONSULTING PHYSICIAN","طبيب استشاري"
"9910459","CONTRACTS AND SERVICE MANAGER","مدير العقود والخدمات"
"9910460","CONTRACTS OFFICER","ضابط العقود"
"9910461","CONTROL PANEL ELECTRICIAN","كهربائي لوحة التحكم"
"9910462","CONTROL ROOM OPERATOR","مشغل غرفة التحكم"
"9910463","COSMETIC MANUFACTURING OPERATOR","مشغل آلة صناعة مستحضرات التجميل"
"9910464","COST ACCOUNT CLERK","كاتب حساب التكلفة"
"9910465","COST ACCOUNTANT","محاسب التكلفة"
"9910466","COUNTING CLERK","كاتب عَدّ"
"9910467","CRUISE SHIP CAPTAIN","قبطان سفينة سياحية"
"9910468","CURTAIN TAILOR","خياط الستائر"
"9910469","DAIRY PRODUCTS SALESPERSON","مندوب مبيعات منتجات الالبان"
"9910470","DAM ENGINEER","مهندس السدود"
"9910471","DEBT COLLECTOR","محصّل ديون"
"9910472","DECORATIVE WOODWORKER","عامل النجارة الزخرفية"
"9910473","DEVELOPMENT AND SPECIFICATION ENGINEER","مهندس التطوير والمواصفات"
"9910474","DIPLOMATIC CORP DIRECTOR","مدير سلك دبلوماسي"
"9910475","DISH WASHER","عامل غسل أطباق"
"9910476","DISTRIBUTION ELECTRICIAN","كهربائي توزيع"
"9910477","DOCUMENTATION AUTHENTICATION CLERK","كاتب تصديق الوثائق"
"9910478","DRAMA PROFESSOR","أستاذ المسرح"
"9910479","DRILLING AND BORING MACHINE OPERATOR","مشغل آلة الثقب والحفر"
"9910480","ECONOMIC ANALYST","محلل اقتصادي"
"9910481","ECONOMICS TEACHER","مدرس الاقتصاد"
"9910482","ELECTRIC INSULATION WORKER","عامل العزل الكهربائي"
"9910483","ELECTRICAL ENGINEER PROFESSOR","أستاذ الهندسة الكهربائية"
"9910484","ELECTRICAL EQUIPMENT MECHANIC","ميكانيكي المعدات الكهربائية"
"9910485","ELECTRICAL MEDICAL ENGINEER","مهندس الأجهزة الطبية الكهربائية"
"9910486","ELECTRICAL MONITOR ENGINEER","مهندس المراقبة الكهربائية"
"9910487","ELECTRICAL NETWORK ASSISTANT","مساعد عامل الشبكة الكهربائية"
"9910488","ELECTRICAL PRECISION ENGINEER","مهندس الأجهزة الكهربائية الدقيقة"
"9910489","ELECTRICAL PRODUCTS SALES ASSISTANT","مساعد مبيعات المنتجات الكهربائية"
"9910490","ELECTRICAL SUPPLIES SALESPERSON","مندوب مبيعات التوريدات الكهربائية"
"9910858","LEAD DATA ANALYST","محلل بيانات رئيسي"
"9910859","LEAD SYSTEM TECHNICIAN","فني نظم رئيسي"
"9910860","LEAD PROJECTS EXECUTIVE","تنفيذي مشاريع رئيسي"
"9910861","SENIOR PROJECTS EXECUTIVE","تنفيذي مشاريع اول"
"9910862","FACILITIES EXECUTIVE","تنفيذي مرافق"
"9910863","LEAD EXECUTIVE","تنفيذي رئيسي"
"9910864","LEAD STATISTICIAN","احصائي رئيسي"
"9999913","Professional Boxer","ملاكم محترف"
"9999914","Entrepreneur","رائد أعمال"
"9910491","ELECTRICAL SWITCH ASSEMBLER","عامل تجميع  مفاتيح التحويل الكهربائي"
"9910492","ELECTRICAL TRANSMISSION ENGINEER","مهندس النقل الكهربائي"
"9910493","ELECTRONIC ENGINEER PROFESSOR","أستاذ الهندسة الألكترونية"
"9910494","ELECTRONIC EQUIPMENT MECHANIC","ميكانيكي المعدات الإلكترونية"
"9910495","ELECTRONIC SALES ASSISTANT","مساعد مبيعات الألكترونيات"
"9910496","EMERGENCY NURSE","ممرض طوارئ"
"9910497","ENDOCRINOLOGIST","طبيب الغدد الصماء"
"9910498","ENVIRONMENT ENGINEER","مهندس بيئة"
"9910499","ENVIRONMENTAL ENGINEER PROFESSOR","أستاذ الهندسة البيئية"
"9910501","EXPLOSIVE TECHNICIAN","فني متفجرات"
"9910502","FACTORY MANAGER","مدير معمل"
"9910503","FERRYBOAT CAPTAIN","قبطان العبارة"
"9910504","FINANCE AND COMMERCE PROFESSOR","أستاذ المالية والتجارة"
"9910505","FINANCE DIRECTOR","مدير المالية"
"9910506","FINANCIAL AUDITOR","مدقق مالي"
"9910507","FISH PROCESSING WORKER","عامل معالجة الأسماك"
"9910508","FISHING NET MAKER","صانع شبكة صيد السمك"
"9910509","FOLDING MACHINE OPERATOR","مشغل آلة الطي"
"9910510","FOOD SUPPLIES SALESPERSON","مندوب مبيعات توريدات المواد الغذائية"
"9910511","FOOTWEAR SALES ASSISTANT","مساعد مبيعات الأحذية"
"9910512","FRUIT AND VEGETABLE PREPARER","محضر الفواكه والخضروات"
"9910513","FURNACE ASSISTANT","مساعد عامل الأفران"
"9910514","FURNITURE SALES ASSISTANT","مساعد مبيعات الأثاث"
"9910515","GARDEN SALES ASSISTANT","مساعد مبيعات معدات الحدائق"
"9910516","GAS SALESPERSON","مندوب مبيعات الغاز"
"9910517","GAS TURBINE FITTER","عامل تركيب التوربينات الغازية"
"9910518","GASTROENTEROLOGIST","طبيب أمراض الجهاز الهضمي"
"9910519","GIFTS AND CURIOUS SALES","بائع الهدايا والمقتنيات الغريبة"
"9910520","GOODS RECEIVING AND DELIVERY CLERK","كاتب استلام البضائع وتسليمها"
"9910521","GRAPHIC ARTIST","مصصم جرافيك"
"9910522","HAEMATOLOGIST","طبيب أمراض الدم"
"9910523","HARDWARE SALES ASSISTANT","مساعد مبيعات الأدوات الحديدية"
"9910524","HEALTH INSURANCE MANAGER","مدير التأمين الصحي"
"9910525","HEALTHCARE TECHNICIAN","فني رعاية صحية"
"9910526","HEAVY VEHICLE MECHANIC","ميكانيكي مركبات ثقيلة"
"9910527","HEAVY VEHICLE MECHANIC ASSISTANT","مساعد ميكانيكي المركبات الثقيلة"
"9910528","HIGHWAY AND ROAD SURVEYOR","مساح الشوارع والطرق السريعة"
"9910529","HIGHWAY CONSTRUCTION SUPERVISOR","مشرف بناء الطرق السريعة"
"9910530","HIGHWAY ENGINEER","مهندس الطرق السريعة"
"9910531","HORTICULTURE PROFESSOR","أستاذ البستنة"
"9910532","HORTICULTURE TECHNICIAN","فني البستنة"
"9910533","HOTELIER TRAINER","المدرب الفندقي"
"9910534","HOUSEHOLD APPLIANCE ASSEMBLER","عامل تجميع  الأجهزة المنزلية"
"9910535","HOUSEHOLD SALES ASSISTANT","مساعد مبيعات الأدوات المنزلية"
"9910536","HYDRAULIC MECHANIC ASSISTANT","مساعد ميكانيكي الهيدروليك"
"9910537","INDUSTRIAL CHEMIST","كيميائي صناعي"
"9910538","INDUSTRIAL ENGINEER PROFESSOR","أستاذ الهندسة الصناعية"
"9910539","INDUSTRIAL EQUIPMENT MECHANIC","ميكانيكي المعدات الصناعية"
"9910540","INDUSTRIAL EQUIPMENT SALESPERSON","مندوب مبيعات المعدات الصناعية"
"9910541","INDUSTRY TRAINER","مدرب الصناعة"
"9910542","INJECTION PUMP MECHANIC","ميكانيكي مضخات الحقن"
"9910543","INORGANIC CHEMIST","كيميائي غير عضوي"
"9910544","INSURANCE SPECIALIST","أخصائي تأمين"
"9910545","IRRIGATION ENGINEER","مهندس الري"
"9910546","JEWELLERY SALES ASSISTANT","مساعد مبيعات المجوهرات"
"9910547","KINDERGARTEN EDUCATION SUPERVISOR","مشرف التعليم  لرياض الأطفال"
"9910548","KITCHEN FITTER","عامل تركيب المطابخ"
"9910549","LABORATORY TECHNICIAN ASSISTANT","مساعد فني مختبرات"
"9910550","LAMINATED WOOD MANUFACTURING OPERATOR","عامل تصنيع الخشب الرقائقي"
"9910551","LAND SURVEYING EQUIPMENT ASSEMBLER","عامل تجميع  معدات مسح الأراضي"
"9910552","LANDSCAPE DESIGNER","مصمم المناظر الطبيعية"
"9910553","LANGUAGES PROFESSOR","أستاذ اللغات"
"9910554","LANGUAGES TEACHER","مدرس اللغات"
"9910555","MACHINE OPERATOR SUPERVISOR","مشرف مشغّلي المكائن"
"9910556","MACHINERY MAINTENANCE SUPERVISOR","مشرف صيانة الآلات"
"9910557","MARBLE BURNISH MACHINE OPERATOR","مشغل  آلة تلميع الرخام"
"9910558","MARBLE STONE CUTTER","قاطع حجر الرخام"
"9910559","MARINES TOOL SALESPERSON","مندوب مبيعات الأدوات البحرية"
"9910560","MATHEMATICS PRIMARY TEACHER","مدرس الرياضيات بالمرحلة الابتدائية"
"9910561","MATHEMATICS TEACHER","مدرس الرياضيات"
"9910562","MATTRESS UPHOLSTER","عامل تنجيد الفُرُش"
"9910563","MEAT COUNTER SALES ASSISTANT","مساعد منضدة مبيعات اللحوم"
"9910564","MECHANICAL ENGINEER PROFESSOR","أستاذ الهندسة الميكانيكية"
"9910565","MECHANICAL MACHINERY ENGINEER","مهندس أجهزة ميكانيكية"
"9910566","MECHANICAL MAINTENANCE ENGINEER","مهندس صيانة ميكانيكية"
"9910567","MECHANICAL MAINTENANCE SUPERVISOR","مشرف الصيانة الميكانيكية"
"9910568","MECHANICAL PRODUCTION ENGINEER","مهندس الانتاج ميكانيكي"
"9910569","MECHANICAL PRODUCTION TECHNICIAN","فني الإنتاج الميكانيكي"
"9910570","MEDICAL INSTRUMENTS SALES REPRESENTATIVE","مندوب مبيعات الأدوات الطبية"
"9910571","METAL CONSTRUCTION ENGINEER","مهندس البناء المعدني"
"9910572","METAL PAINTER ASSISTANT","مساعد صباغ المعادن"
"9910573","METAL SALESPERSON","مندوب مبيعات المعادن"
"9910574","METAL SPRAY PAINTER","صباغ المعادن بالرش"
"9910575","METAL SPRAY PAINTER SUPERVISOR","مشرف صبّاغي المعادن بالرش"
"9910576","METAL STRUCTURE ASSISTANT","مساعد عامل تركيب الهياكل المعدنية"
"9910577","METAL STRUCTURE INSTALLATION WORKER","عامل تركيب الهياكل المعدنية"
"9910578","METAL STRUCTURE MAKER","صانع الهياكل المعدنية"
"9910579","MIG WELDER","لحام بطريقة الميج"
"9910280","EXPO2020 - SECTION COMMISSIONER - GENERAL","اكسبو2020 - المفوض العام للقسم"
"9910281","EXPO2020 - DEPUTY SECTION  COMMISSIONER - GENERAL","اكسبو2020 - نائب المفوض العام للقسم"
"9910282","EXPO2020 - PAVILION DIRECTOR","اكسبو2020 - مدير جناح"
"9910283","EXPO2020 - SECTION STAFF","اكسبو2020 - موظف فريق قسم"
"9910285","DOCTOR SENIOR FORENSIC TOXICOLOGIST","دكتور خبير أول"
"1231013","AIRSIDE SERVICES AGENT","وكيل خدمات الساحة الجوية"
"1434034","ADVOCATE GENERAL","المحامي العام"
"9910315","ABRA OPERATOR","مشغل عبره"
"9910316","ACCIDENT INVESTIGATOR","محقق حوادث"
"9910317","ADVERTISEMENTS INSPECTOR","مفتش إعلانات"
"9910318","ARCHITECT ENGINEER","مهندس معماري"
"9910319","CHAIRMAN  EXECUTIVE SECRETARY","سكرتيرة تنفيذية"
"9910320","CHIEF ELECTRICAL ENGINEER","مهندس كهرباء رئيسي"
"9910321","CHIEF ENGINEER","مهندس رئيسي"
"9910322","CHIEF FINANCIAL AUDITOR","مدقق  مالي رئيسي"
"9910323","CHIEF OFFICER","ضابط رئيسي"
"9910324","CHIEF QUALITY OFFICER","ضابط جودة رئيسي"
"9910325","CHIEF SPECIALIST MEDIA","أخصائي رئيسي اعلام"
"9910326","CHIEF SPECIALIST PROGRAMS AND PROJECT MANAGEMENT","أخصائي رئيسي إدارة البرامج  والمشاريع"
"9910327","CHIEF SPECIALIST QUALITY","أخصائي رئيسي جودة"
"9910329","CHIEF SYSTEM ANALYST","محلل أنظمة رئيسي"
"9910330","CHIEF TECHNICAL SUPERVISOR","مشرف رئيسي فني"
"9910331","CHIEF TRANSPORTATION INTEGRATION PLANNER","مخطط رئيسي تكامل أنظمة النقل"
"9910332","CHIEF TRANSPORTATION PLANNING AND MODELING SPECIALIST","اخصائي تخطيط و نمذجة رئيسي"
"9910333","CMS OPERATOR","مشغل نظام التحكم المركزي"
"9910334","CONTRACTS CHIEF ENGINEER","مهندس عقود رئيسي"
"9910335","DANTEL","سمكري"
"9910336","DATA BASE ADMINISTRATOR","مشرف قواعد بيانات"
"9910337","DATA TECHNICIAN","فني بيانات"
"9910338","DEPOT MANAGER","مدير محطه"
"9910339","DEPUTY DIRECTOR AND SENIOR MANAGER","نائب مدير إدارة ومدير أول"
"9910340","DIRECTOR GENERAL ADVISOR CHAIRMAN OF THE BOARD OF EXECUTIVE DIRECTORS OFFICE","مستشار مكتب المدير العام ورئيس مجلس المديرين"
"9910341","DIRECTOR GENERAL EXECUTIVE SECRETARY","سكرتيرة تنفيذيه المدير العام"
"9910342","DIRECTOR GENERAL CHAIRMAN OF THE BOARD OF EXECUTIVE DIRECTORS","المدير العام ورئيس مجلس المديرين"
"9910343","DRIVER HEAVY VEHICLES","سائق مركبات ثقيلة"
"9910344","ELECTRICIAN TRAFFIC SYSTEMS","كهربائي- أنظمة مرورية"
"9910345","ENGINEERING SURVEYOR","مساح هندسي"
"9910346","EQUIPMENT MONITORING OPERATOR","مشغل مراقبة معدات"
"9910347","EXECUTIVE   DIRECTOR","مدير ادارة تنفيذي"
"9910348","FIRE FIGHTING ENGINEER","مهندس اطفاء"
"9910349","FOLLOW UP ENGINEER","مهندس متابعة"
"9910350","HEAD OF CUSTOMER HAPPINESS CENTER","رئيس مركز اسعاد المتعاملين"
"9910351","HEAVY MACHINERY OPERATOR","مشغل معدات  ثقيلة"
"9910352","IMAM MASJID","أمام مسجد"
"9910353","INTERIOR DESIGNER - EADAD","مصمم داخلي - اعداد"
"9910354","LEGAL SPECIALIST","أخصائي قانوني"
"9910355","MANAGER BUSINESS TRAINING","مدير التدريب الإداري"
"9910356","MANAGER LOGISTIC AND OPERATION","مدير الدعم اللوجستي والتشغيل"
"9910357","MANAGER NATIONAL DEVELOPMENT","مدير تطوير الكفاءات المواطنه"
"9910358","MANAGER TECHNICAL TRAINING","مدير التدريب التخصصي"
"9910359","MEDIA SENIOR SPECIALIST","أخصائي أول اعلام"
"9910360","MEMBER OF RTA BOARD OF EXECUTIVE DIRECTORS","عضو مجلس المديرين لهيئة الطرق والمواصلات"
"9910361","PIPE FILTER","مصلح أنابيب"
"9910362","PROJECT MANAGER RED LINE EXTENSION","مدير مشروع امتداد الخط الاحمر "
"9910363","PROJECTS ADVISOR","مستشار المشاريع "
"9910364","QUALITY CHIEF ENGINEER","مهندس جودة رئيسي"
"9910365","QUALITY SPECIALIST","أخصائي جودة"
"9910366","SENIOR ACCOUNTANT - EADAD","محاسب اول - اعداد"
"9910367","SENIOR ADMINISTRATOR-RECEPTIONIST","اداري استقبال أول"
"9910368","SENIOR COLLECTOR","محصل أول"
"9910369","SENIOR COORDINATOR","منسق اول"
"9910370","SENIOR COSTS ENGINEER","مهندس أول - تكاليف"
"9910371","SENIOR FINANCIAL AUDITOR","مدقق مالي أول"
"9910372","SENIOR FOLLOW UP ENGINEER","مهندس أول متابعة"
"9910373","SENIOR INFORMATION SECURITY ARCHITECT","معماري امن معلومات اول"
"9910374","SENIOR OFFICER - EADAD","ضابط اول - اعداد"
"9910375","SENIOR PROJECT ENGINEER","مهندس مشاريع أول"
"9910376","SENIOR QUALITY AUDITOR","مدقق جودة اول"
"9910377","SENIOR QUALITY SYSTEMS AUDITOR","مدقق اول أنظمة الجودة"
